File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
1001705_virtual_102_stropt.cif,-8.38049,6.072638700645711,1.7786164283752441,2.435558795928955,1.6543564796447754,1.551478385925293
1001705_virtual_351_stropt.cif,-8.3803835,6.068985844368312,1.7695554494857788,2.4201619625091553,1.6205475330352783,1.5262370109558105
1001705_virtual_278_stropt.cif,-8.380407,6.069495052428029,1.7757236957550049,2.4159607887268066,1.660504698753357,1.5370080471038818
1001705_virtual_231_stropt.cif,-8.380153,6.069693678963975,1.7778513431549072,2.4037561416625977,1.658848524093628,1.51241135597229
1001705_virtual_310_stropt.cif,-8.38033,6.069174961448711,1.7733778953552246,2.425990104675293,1.6601918935775757,1.5430828332901
1001705_virtual_108_stropt.cif,-8.379839,6.06743653811601,1.7745181322097778,2.4285175800323486,1.6597346067428589,1.5514862537384033
1001705_virtual_13_stropt.cif,-8.380289,6.069072708166185,1.7675604820251465,2.414297342300415,1.5571186542510986,1.5340495109558105
1001705_virtual_177_stropt.cif,-8.38054,6.07264474596731,1.7835159301757812,2.422018527984619,1.6487795114517212,1.5324478149414062
1001705_virtual_329_stropt.cif,-8.379952,6.070023019955065,1.770939826965332,2.388523578643799,1.631452202796936,1.4762272834777832
1001705_virtual_40_stropt.cif,-8.380397,6.075814071443522,1.7874577045440674,2.4110794067382812,1.3515263795852661,1.512344479560852
1001705_virtual_153_stropt.cif,-8.380253,6.069948961668966,1.764395833015442,2.384364128112793,1.656150221824646,1.4668048620224
1001705_virtual_184_stropt.cif,-8.380217,6.069319527489058,1.7753344774246216,2.425079345703125,1.6364532709121704,1.5403510332107544
1001705_virtual_93_stropt.cif,-8.380655,6.068098250661257,1.7728526592254639,2.4121105670928955,1.664223313331604,1.5223690271377563
1001705_virtual_240_stropt.cif,-8.380348,6.069303549960928,1.7676867246627808,2.398768424987793,1.6188493967056274,1.5171597003936768
1001705_virtual_209_stropt.cif,-8.380662,6.069602214114162,1.7701882123947144,2.413595199584961,1.6593551635742188,1.513873815536499
1001705_virtual_79_stropt.cif,-8.380227,6.072798187179396,1.786049485206604,2.4418845176696777,1.4891538619995117,1.5622048377990723
1001705_virtual_304_stropt.cif,-8.380195,6.074673572061472,1.7945799827575684,2.459247589111328,1.402388334274292,1.590341567993164
1001705_virtual_319_stropt.cif,-8.380043,6.069035075273176,1.7823115587234497,2.4302735328674316,1.6640487909317017,1.5526245832443237
1001705_virtual_139_stropt.cif,-8.38007,6.0694052124478475,1.7769248485565186,2.427448272705078,1.65932297706604,1.5427614450454712
1001705_virtual_256_stropt.cif,-8.380313,6.069378478000853,1.7859798669815063,2.4293551445007324,1.658566951751709,1.5572906732559204
1001705_virtual_349_stropt.cif,-8.380065,6.069733663862158,1.7767095565795898,2.421292304992676,1.651945948600769,1.5345633029937744
1001705_virtual_267_stropt.cif,-8.37981,6.06939077118592,1.7727851867675781,2.405074119567871,1.6555521488189697,1.508026361465454
1001705_virtual_299_stropt.cif,-8.380239,6.0678112172666685,1.7728958129882812,2.4231948852539062,1.6607677936553955,1.544622540473938
1001705_virtual_261_stropt.cif,-8.380314,6.0692757495119585,1.7788774967193604,2.4337592124938965,1.652951717376709,1.569185495376587
1001705_virtual_255_stropt.cif,-8.380479,6.06963923456214,1.7720683813095093,2.4103219509124756,1.6500587463378906,1.5275365114212036
1001705_virtual_207_stropt.cif,-8.38023,6.06991478585049,1.7849003076553345,2.432130813598633,1.6587557792663574,1.5467768907546997
1001705_virtual_289_stropt.cif,-8.380599,6.072860504298332,1.794712781906128,2.4519126415252686,1.656536340713501,1.5878046751022339
1001705_virtual_189_stropt.cif,-8.380949,6.072103478917944,1.788235068321228,2.4477944374084473,1.6344243288040161,1.570035696029663
1001705_virtual_142_stropt.cif,-8.380407,6.066641743668612,1.7743864059448242,2.4293806552886963,1.6671946048736572,1.56808602809906
1001705_virtual_137_stropt.cif,-8.380283,6.068740573427567,1.7776439189910889,2.441896677017212,1.6648889780044556,1.5639485120773315
1001705_virtual_281_stropt.cif,-8.380255,6.069107365439625,1.7682446241378784,2.415100336074829,1.660710096359253,1.5284104347229004
1001705_virtual_16_stropt.cif,-8.380135,6.069098929065459,1.777845859527588,2.4379782676696777,1.6548833847045898,1.5617748498916626
1001705_virtual_239_stropt.cif,-8.380241,6.069773251127119,1.7661354541778564,2.38521146774292,1.5966846942901611,1.4647443294525146
1001705_virtual_373_stropt.cif,-8.380042,6.069027602996502,1.7684274911880493,2.404961109161377,1.6604554653167725,1.5057463645935059
1001705_virtual_341_stropt.cif,-8.379818,6.069332286669864,1.7786293029785156,2.417367935180664,1.6611391305923462,1.5245245695114136
1001705_virtual_89_stropt.cif,-8.380365,6.073037701492959,1.7810899019241333,2.4207823276519775,1.6525248289108276,1.5353277921676636
1001705_virtual_301_stropt.cif,-8.380486,6.068623283670771,1.7755800485610962,2.443676710128784,1.6380876302719116,1.5708740949630737
1001705_virtual_197_stropt.cif,-8.380166,6.0695938305653225,1.7747735977172852,2.3914408683776855,1.6555088758468628,1.508166790008545
1001705_virtual_167_stropt.cif,-8.380531,6.070092713127541,1.7783002853393555,2.398484230041504,1.664404273033142,1.491067886352539
1001705_virtual_376_stropt.cif,-8.379867,6.06972151217592,1.7698330879211426,2.4015302658081055,1.6294867992401123,1.5098475217819214
1001705_virtual_346_stropt.cif,-8.38045,6.075017749539927,1.7966378927230835,2.4325389862060547,1.5278418064117432,1.5419851541519165
1001705_virtual_257_stropt.cif,-8.380065,6.069336926996428,1.7842907905578613,2.4207983016967773,1.6600521802902222,1.53838312625885
1001705_virtual_394_stropt.cif,-8.380416,6.069153060258856,1.7781906127929688,2.425798177719116,1.6639691591262817,1.5537123680114746
1001705_virtual_179_stropt.cif,-8.38026,6.069487537694575,1.7687036991119385,2.3989903926849365,1.654952049255371,1.500623106956482
1001705_virtual_391_stropt.cif,-8.379804,6.069312954221158,1.783881425857544,2.42340087890625,1.6458754539489746,1.5504059791564941
1001705_virtual_313_stropt.cif,-8.380292,6.069347552888102,1.7776206731796265,2.4244771003723145,1.658503532409668,1.5306060314178467
1001705_virtual_20_stropt.cif,-8.379957,6.069054345282929,1.773919939994812,2.4281342029571533,1.643823504447937,1.5454318523406982
1001705_virtual_249_stropt.cif,-8.380172,6.071990383712993,1.7760623693466187,2.4305670261383057,1.6092904806137085,1.5442332029342651
1001705_virtual_379_stropt.cif,-8.379732,6.0693607256981075,1.766365885734558,2.395911455154419,1.6503775119781494,1.4985007047653198
1001705_virtual_87_stropt.cif,-8.379311,6.068670303147337,1.7829447984695435,2.4305002689361572,1.6523140668869019,1.5594855546951294
1001705_virtual_395_stropt.cif,-8.380446,6.069508795748232,1.7685892581939697,2.4095277786254883,1.6571096181869507,1.5276132822036743
1001705_virtual_355_stropt.cif,-8.3800955,6.068620666968449,1.7746609449386597,2.4239354133605957,1.662631630897522,1.5396541357040405
1001705_virtual_95_stropt.cif,-8.38059,6.067962722954367,1.7837506532669067,2.4576523303985596,1.649662971496582,1.60751473903656
1001705_virtual_206_stropt.cif,-8.380297,6.067514235353461,1.7794642448425293,2.41961669921875,1.661803960800171,1.550793170928955
1001705_virtual_111_stropt.cif,-8.380015,6.069659665509407,1.7717373371124268,2.411705493927002,1.6549493074417114,1.5221855640411377
1001705_virtual_221_stropt.cif,-8.380423,6.0693860427204145,1.7772564888000488,2.4094793796539307,1.640230417251587,1.5472427606582642
1001705_virtual_25_stropt.cif,-8.380503,6.0726570088399505,1.78561532497406,2.4395501613616943,1.6369810104370117,1.562201976776123
1001705_virtual_270_stropt.cif,-8.380235,6.072879478947675,1.7848522663116455,2.4272971153259277,1.6590683460235596,1.5489046573638916
1001705_virtual_345_stropt.cif,-8.38068,6.072667035673611,1.7914646863937378,2.4485206604003906,1.6344075202941895,1.5862789154052734
1001705_virtual_353_stropt.cif,-8.380373,6.073617176163921,1.7824548482894897,2.4325666427612305,1.5681769847869873,1.5605379343032837
1001705_virtual_159_stropt.cif,-8.3802595,6.069321431476625,1.7788158655166626,2.4135031700134277,1.6586925983428955,1.515109896659851
1001705_virtual_57_stropt.cif,-8.380742,6.073560892151149,1.7908456325531006,2.4510064125061035,1.5406473875045776,1.5708467960357666
1001705_virtual_327_stropt.cif,-8.380151,6.069393556367329,1.7765214443206787,2.404393434524536,1.6552815437316895,1.509168267250061
1001705_virtual_292_stropt.cif,-8.38033,6.069558196830682,1.7694991827011108,2.4049506187438965,1.6204766035079956,1.5069280862808228
1001705_virtual_171_stropt.cif,-8.379888,6.0699064787469865,1.7706083059310913,2.4252214431762695,1.6178697347640991,1.5322366952896118
1001705_virtual_333_stropt.cif,-8.380334,6.072973050920939,1.777702808380127,2.430598258972168,1.6105659008026123,1.5589137077331543
1001705_virtual_47_stropt.cif,-8.380057,6.069811070148669,1.7731279134750366,2.4175853729248047,1.633066177368164,1.5315296649932861
