File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
1000233_virtual_120_stropt.cif,-7.514859,5.936410529741709,2.2125723361968994,-0.009161591529846191,-0.0063974857330322266,-0.008482813835144043
1000233_virtual_334_stropt.cif,-7.5143394,5.943517582397555,2.214092254638672,-0.009112238883972168,0.0002913475036621094,-0.008355140686035156
1000233_virtual_32_stropt.cif,-7.5150075,5.9170004563056375,2.2103633880615234,-0.008998990058898926,0.0036454200744628906,-0.008423328399658203
1000233_virtual_336_stropt.cif,-7.513532,5.943587500228174,2.2156758308410645,-0.008792638778686523,-0.0018923282623291016,-0.008365273475646973
1000233_virtual_148_stropt.cif,-7.51344,5.94390368801116,2.208230495452881,-0.009006381034851074,-0.003664374351501465,-0.008368611335754395
1000233_virtual_206_stropt.cif,-7.512062,5.957608548954484,2.2216174602508545,-0.008833527565002441,-0.0017163753509521484,-0.00836324691772461
1000233_virtual_395_stropt.cif,-7.509657,5.972515800667727,2.222764015197754,-0.008905291557312012,-0.0023583173751831055,-0.00838470458984375
1000233_virtual_255_stropt.cif,-7.512999,5.950448256659506,2.2216994762420654,-0.008877038955688477,-0.0030279159545898438,-0.008381366729736328
1000233_virtual_372_stropt.cif,-7.5133996,5.937257674563995,2.2094695568084717,-0.008886098861694336,-0.0033472776412963867,-0.008382081985473633
1000233_virtual_53_stropt.cif,-7.5097895,5.979479384284651,2.22156023979187,-0.008836865425109863,-0.003076910972595215,-0.0083848237991333
1000233_virtual_38_stropt.cif,-7.5141764,5.936296034035821,2.2128753662109375,-0.009241342544555664,-0.004391074180603027,-0.008431315422058105
1000233_virtual_43_stropt.cif,-7.5137553,5.936564863458725,2.19419002532959,-0.008878946304321289,-0.0025290250778198242,-0.00843667984008789
1000233_virtual_190_stropt.cif,-7.5126085,5.950809384011757,2.2075719833374023,-0.009064555168151855,-0.004412651062011719,-0.008379578590393066
1000233_virtual_79_stropt.cif,-7.5128956,5.94402517168188,2.2184271812438965,-0.008956432342529297,0.0012568235397338867,-0.008400678634643555
1000233_virtual_221_stropt.cif,-7.512976,5.943824402180785,2.206753730773926,-0.008844614028930664,-0.0027043819427490234,-0.008412837982177734
1000233_virtual_132_stropt.cif,-7.510446,5.9644935487018795,2.2288167476654053,-0.008874177932739258,-0.0009351968765258789,-0.008421540260314941
1000233_virtual_297_stropt.cif,-7.51541,5.929551655703631,2.199383497238159,-0.008992195129394531,-3.886222839355469e-05,-0.008412480354309082
1000233_virtual_331_stropt.cif,-7.5123267,5.952315516910315,2.2061409950256348,-0.0090407133102417,-0.005867600440979004,-0.008392930030822754
1000233_virtual_58_stropt.cif,-7.5137415,5.937665892078138,2.1979856491088867,-0.008939981460571289,-0.004286289215087891,-0.008467435836791992
1000233_virtual_160_stropt.cif,-7.510396,5.965813422567042,2.2073235511779785,-0.008991479873657227,-0.004167437553405762,-0.008371710777282715
1000233_virtual_234_stropt.cif,-7.511796,5.965391978912119,2.210494041442871,-0.008860230445861816,-0.002183079719543457,-0.008357882499694824
1000233_virtual_15_stropt.cif,-7.5087905,5.979637306363383,2.2234444618225098,-0.008959531784057617,-0.0025860071182250977,-0.008402705192565918
1000233_virtual_337_stropt.cif,-7.5115333,5.951045297398026,2.214123487472534,-0.008991360664367676,-0.0031424760818481445,-0.008413553237915039
1000233_virtual_44_stropt.cif,-7.513656,5.943354082030779,2.217905044555664,-0.009058117866516113,-0.0020447969436645508,-0.008421897888183594
1000233_virtual_25_stropt.cif,-7.513154,5.943862236408584,2.2040019035339355,-0.009087562561035156,-0.00455784797668457,-0.008424162864685059
1000233_virtual_373_stropt.cif,-7.513184,5.9370991336979175,2.204024314880371,-0.008950471878051758,-0.003679633140563965,-0.008460760116577148
1000233_virtual_379_stropt.cif,-7.5103188,5.979222806732791,2.229304790496826,-0.008821606636047363,-0.0007573366165161133,-0.008353352546691895
1000233_virtual_299_stropt.cif,-7.512028,5.95827828961525,2.2159996032714844,-0.009017229080200195,-0.0054215192794799805,-0.00835418701171875
1000233_virtual_21_stropt.cif,-7.5119367,5.958406164027942,2.213374614715576,-0.008922219276428223,-0.0036455392837524414,-0.008404254913330078
1000233_virtual_39_stropt.cif,-7.5120816,5.964867751076455,2.227084159851074,-0.008966445922851562,-0.0029636621475219727,-0.008362650871276855
1000233_virtual_322_stropt.cif,-7.5128036,5.951023425394663,2.213592529296875,-0.00900876522064209,-0.004212021827697754,-0.008368849754333496
1000233_virtual_159_stropt.cif,-7.512998,5.944365534714335,2.2125914096832275,-0.00888514518737793,-0.003175020217895508,-0.008419156074523926
1000233_virtual_339_stropt.cif,-7.5106554,5.972088833276192,2.219221830368042,-0.008946895599365234,-0.00386202335357666,-0.008344888687133789
1000233_virtual_268_stropt.cif,-7.5134077,5.937339117489873,2.2129898071289062,-0.009026288986206055,-0.0019456148147583008,-0.008354544639587402
1000233_virtual_225_stropt.cif,-7.5118356,5.950569895262494,2.2059144973754883,-0.008815407752990723,-0.0035414695739746094,-0.008458852767944336
1000233_virtual_169_stropt.cif,-7.51392,5.931714605200053,2.198089361190796,-0.009046196937561035,-0.005263686180114746,-0.008379340171813965
1000233_virtual_198_stropt.cif,-7.5124507,5.9507338509421555,2.205583095550537,-0.008857488632202148,-0.003153681755065918,-0.008486628532409668
1000233_virtual_285_stropt.cif,-7.5136814,5.937528187968099,2.2148706912994385,-0.009051084518432617,-0.002332448959350586,-0.008378267288208008
1000233_virtual_155_stropt.cif,-7.5122375,5.958235053580547,2.2210922241210938,-0.008794188499450684,-0.0016688108444213867,-0.008353829383850098
1000233_virtual_390_stropt.cif,-7.5127196,5.9582042868684875,2.214733600616455,-0.008890271186828613,-0.0030927658081054688,-0.008358240127563477
1000233_virtual_200_stropt.cif,-7.5142684,5.930818372678262,2.206514358520508,-0.008934855461120605,-0.002716064453125,-0.008413553237915039
1000233_virtual_8_stropt.cif,-7.512252,5.958724414235357,2.21395206451416,-0.009023547172546387,-0.00487971305847168,-0.008365035057067871
1000233_virtual_10_stropt.cif,-7.5172315,5.899058137797675,2.194310426712036,-0.009117484092712402,1.2223737239837646,-0.00845646858215332
1000233_virtual_182_stropt.cif,-7.512895,5.951171396188626,2.1987361907958984,-0.00905919075012207,-0.004990577697753906,-0.008359074592590332
1000233_virtual_95_stropt.cif,-7.515045,5.917471170053221,2.2095754146575928,-0.009134531021118164,-0.003577113151550293,-0.008492588996887207
1000233_virtual_242_stropt.cif,-7.510625,5.958053858338268,2.2163946628570557,-0.008957386016845703,-0.003180980682373047,-0.008409738540649414
1000233_virtual_55_stropt.cif,-7.5135403,5.950747229593588,2.2090678215026855,-0.008925557136535645,-0.0038117170333862305,-0.008378982543945312
1000233_virtual_381_stropt.cif,-7.5133634,5.931400399603053,2.216555595397949,-0.008976459503173828,-0.001955866813659668,-0.008523225784301758
1000233_virtual_304_stropt.cif,-7.5119267,5.957607248618649,2.235731363296509,-0.009149432182312012,-0.0019544363021850586,-0.008409261703491211
1000233_virtual_141_stropt.cif,-7.5148516,5.923475643127714,2.2159619331359863,-0.009097456932067871,-0.0014914274215698242,-0.008501648902893066
1000233_virtual_387_stropt.cif,-7.5140696,5.936961496573839,2.2072811126708984,-0.009076476097106934,-0.002478957176208496,-0.008390069007873535
1000233_virtual_9_stropt.cif,-7.5108643,5.944685392441607,2.227169990539551,-0.009048938751220703,-0.0010013580322265625,-0.008412480354309082
1000233_virtual_27_stropt.cif,-7.5126524,5.950622179484292,2.2120609283447266,-0.009124517440795898,-0.004666328430175781,-0.008428335189819336
1000233_virtual_22_stropt.cif,-7.508362,5.979570690885875,2.2351455688476562,-0.008863329887390137,-0.0005499124526977539,-0.00836646556854248
1000233_virtual_194_stropt.cif,-7.5101314,5.972328747095625,2.2158970832824707,-0.008711576461791992,-0.002657175064086914,-0.008386969566345215
1000233_virtual_177_stropt.cif,-7.513693,5.943488360601617,2.2090561389923096,-0.008991241455078125,-0.004366636276245117,-0.008402705192565918
1000233_virtual_172_stropt.cif,-7.512105,5.944073873284519,2.203967571258545,-0.009026288986206055,-0.003634810447692871,-0.00841820240020752
1000233_virtual_50_stropt.cif,-7.5104766,5.964739697757036,2.214113235473633,-0.008943438529968262,-0.0037887096405029297,-0.008443832397460938
1000233_virtual_260_stropt.cif,-7.512294,5.951270839015376,2.212738037109375,-0.008996367454528809,-0.004823446273803711,-0.008456945419311523
1000233_virtual_246_stropt.cif,-7.5141625,5.936708080747366,2.216218948364258,-0.009073138236999512,-0.0026743412017822266,-0.00840461254119873
1000233_virtual_119_stropt.cif,-7.51321,5.9509289380939165,2.220079183578491,-0.009067773818969727,-0.0044972896575927734,-0.008298873901367188
1000233_virtual_261_stropt.cif,-7.5154424,5.923887704813108,2.207559108734131,-0.00913846492767334,0.022457003593444824,-0.008328795433044434
1000233_virtual_140_stropt.cif,-7.512151,5.958340068746473,2.213918685913086,-0.009055137634277344,-0.0037363767623901367,-0.008364677429199219
1000233_virtual_232_stropt.cif,-7.5117497,5.9581409710076345,2.2195537090301514,-0.008983492851257324,-0.0033240318298339844,-0.008374810218811035
1000233_virtual_131_stropt.cif,-7.513895,5.943692219122067,2.21376371383667,-0.00903618335723877,-0.003538966178894043,-0.00838625431060791
1000233_virtual_315_stropt.cif,-7.514914,5.930340463954524,2.212646245956421,-0.00920867919921875,0.04700613021850586,-0.008333444595336914
1000233_virtual_48_stropt.cif,-7.5143948,5.924032465943867,2.2133700847625732,-0.00908052921295166,0.002675294876098633,-0.008419513702392578
1000233_virtual_156_stropt.cif,-7.5118155,5.965284840413314,2.1948487758636475,-0.008907794952392578,-0.0037086009979248047,-0.00832986831665039
1000233_virtual_345_stropt.cif,-7.514666,5.936875892642367,2.212160587310791,-0.00891721248626709,0.005498051643371582,-0.008448958396911621
1000233_virtual_28_stropt.cif,-7.512068,5.9580330866902464,2.2226004600524902,-0.008943557739257812,-0.0024192333221435547,-0.008364439010620117
1000233_virtual_235_stropt.cif,-7.5139737,5.943362286636113,2.2171106338500977,-0.009092569351196289,-0.0031511783599853516,-0.008396625518798828
1000233_virtual_170_stropt.cif,-7.5160027,5.917129007613738,2.2016475200653076,-0.009282112121582031,0.004295706748962402,-0.0084611177444458
1000233_virtual_153_stropt.cif,-7.5125093,5.945124258875484,2.21828031539917,-0.008967161178588867,-0.0038442611694335938,-0.008396387100219727
1000233_virtual_254_stropt.cif,-7.5099826,5.979546854098139,2.2275874614715576,-0.009012818336486816,-0.0034602880477905273,-0.00837850570678711
