                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:50:32     -904.876298        0.767170
LBFGSLineSearch:    1 16:50:33     -905.656508        0.232517
LBFGSLineSearch:    2 16:50:33     -905.771811        0.255617
LBFGSLineSearch:    3 16:50:34     -905.837881        0.296576
LBFGSLineSearch:    4 16:50:35     -905.941918        0.224856
LBFGSLineSearch:    5 16:50:36     -906.037469        0.193986
LBFGSLineSearch:    6 16:50:37     -906.058025        0.189563
LBFGSLineSearch:    7 16:50:38     -906.118945        0.173182
LBFGSLineSearch:    8 16:50:39     -906.136230        0.167412
LBFGSLineSearch:    9 16:50:40     -906.172741        0.165849
LBFGSLineSearch:   10 16:50:41     -906.210690        0.157516
LBFGSLineSearch:   11 16:50:42     -906.223480        0.137353
LBFGSLineSearch:   12 16:50:43     -906.282329        0.179678
LBFGSLineSearch:   13 16:50:44     -906.316840        0.135591
LBFGSLineSearch:   14 16:50:45     -906.339611        0.125618
LBFGSLineSearch:   15 16:50:46     -906.356541        0.233670
LBFGSLineSearch:   16 16:50:47     -906.416756        0.103955
LBFGSLineSearch:   17 16:50:47     -906.429286        0.122812
LBFGSLineSearch:   18 16:50:48     -906.449221        0.189184
LBFGSLineSearch:   19 16:50:49     -906.489354        0.158136
LBFGSLineSearch:   20 16:50:50     -906.527540        0.157658
LBFGSLineSearch:   21 16:50:51     -906.539813        0.256921
LBFGSLineSearch:   22 16:50:52     -906.570284        0.055524
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:50:53     -905.029770        0.741858
LBFGSLineSearch:    1 16:50:54     -905.790187        0.243727
LBFGSLineSearch:    2 16:50:54     -905.900221        0.261912
LBFGSLineSearch:    3 16:50:55     -905.959510        0.201062
LBFGSLineSearch:    4 16:50:56     -906.041364        0.231785
LBFGSLineSearch:    5 16:50:57     -906.125434        0.209371
LBFGSLineSearch:    6 16:50:58     -906.148806        0.193426
LBFGSLineSearch:    7 16:50:59     -906.211125        0.168745
LBFGSLineSearch:    8 16:51:00     -906.256216        0.172651
LBFGSLineSearch:    9 16:51:01     -906.267840        0.154766
LBFGSLineSearch:   10 16:51:02     -906.298719        0.150054
LBFGSLineSearch:   11 16:51:03     -906.309955        0.146779
LBFGSLineSearch:   12 16:51:04     -906.373215        0.181135
LBFGSLineSearch:   13 16:51:05     -906.420591        0.169400
LBFGSLineSearch:   14 16:51:06     -906.434243        0.124589
LBFGSLineSearch:   15 16:51:07     -906.453135        0.173216
LBFGSLineSearch:   16 16:51:08     -906.506872        0.104790
LBFGSLineSearch:   17 16:51:08     -906.518749        0.112240
LBFGSLineSearch:   18 16:51:09     -906.538425        0.137781
LBFGSLineSearch:   19 16:51:10     -906.576895        0.118575
LBFGSLineSearch:   20 16:51:11     -906.607543        0.113844
LBFGSLineSearch:   21 16:51:12     -906.618123        0.157896
LBFGSLineSearch:   22 16:51:13     -906.647582        0.066093
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:51:14     -905.010494        0.688324
LBFGSLineSearch:    1 16:51:15     -905.768211        0.231616
LBFGSLineSearch:    2 16:51:15     -905.883297        0.301194
LBFGSLineSearch:    3 16:51:16     -905.946807        0.219760
LBFGSLineSearch:    4 16:51:17     -906.036325        0.249313
LBFGSLineSearch:    5 16:51:18     -906.122115        0.164990
LBFGSLineSearch:    6 16:51:19     -906.143762        0.192254
LBFGSLineSearch:    7 16:51:20     -906.200109        0.168536
LBFGSLineSearch:    8 16:51:21     -906.242546        0.171622
LBFGSLineSearch:    9 16:51:22     -906.254014        0.152304
LBFGSLineSearch:   10 16:51:23     -906.285357        0.147952
LBFGSLineSearch:   11 16:51:24     -906.296890        0.145333
LBFGSLineSearch:   12 16:51:25     -906.362612        0.196620
LBFGSLineSearch:   13 16:51:26     -906.406116        0.136811
LBFGSLineSearch:   14 16:51:27     -906.422706        0.166220
LBFGSLineSearch:   15 16:51:28     -906.487536        0.135085
LBFGSLineSearch:   16 16:51:29     -906.514071        0.155515
LBFGSLineSearch:   17 16:51:30     -906.547101        0.144095
LBFGSLineSearch:   18 16:51:31     -906.562097        0.137785
LBFGSLineSearch:   19 16:51:32     -906.593995        0.112121
LBFGSLineSearch:   20 16:51:33     -906.611140        0.144603
LBFGSLineSearch:   21 16:51:34     -906.632171        0.074465
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:51:34     -905.116292        0.718092
LBFGSLineSearch:    1 16:51:35     -905.861026        0.230192
LBFGSLineSearch:    2 16:51:36     -905.975847        0.244951
LBFGSLineSearch:    3 16:51:37     -906.036348        0.207250
LBFGSLineSearch:    4 16:51:38     -906.125026        0.206866
LBFGSLineSearch:    5 16:51:39     -906.217383        0.164036
LBFGSLineSearch:    6 16:51:40     -906.242170        0.192631
LBFGSLineSearch:    7 16:51:41     -906.302492        0.165795
LBFGSLineSearch:    8 16:51:42     -906.344487        0.169550
LBFGSLineSearch:    9 16:51:43     -906.356022        0.148930
LBFGSLineSearch:   10 16:51:44     -906.386531        0.145782
LBFGSLineSearch:   11 16:51:45     -906.404843        0.145279
LBFGSLineSearch:   12 16:51:46     -906.456428        0.163273
LBFGSLineSearch:   13 16:51:46     -906.476257        0.165913
LBFGSLineSearch:   14 16:51:47     -906.512762        0.127542
LBFGSLineSearch:   15 16:51:49     -906.570855        0.148767
LBFGSLineSearch:   16 16:51:49     -906.586274        0.188320
LBFGSLineSearch:   17 16:51:50     -906.632880        0.095935
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:51:51     -904.995257        0.626085
LBFGSLineSearch:    1 16:51:52     -905.763000        0.233283
LBFGSLineSearch:    2 16:51:52     -905.874439        0.273328
LBFGSLineSearch:    3 16:51:53     -905.943162        0.232741
LBFGSLineSearch:    4 16:51:54     -906.042788        0.241535
LBFGSLineSearch:    5 16:51:55     -906.142910        0.175630
LBFGSLineSearch:    6 16:51:56     -906.166006        0.194549
LBFGSLineSearch:    7 16:51:57     -906.230922        0.173490
LBFGSLineSearch:    8 16:51:58     -906.280085        0.173175
LBFGSLineSearch:    9 16:51:59     -906.293094        0.153493
LBFGSLineSearch:   10 16:52:00     -906.329932        0.151970
LBFGSLineSearch:   11 16:52:01     -906.345483        0.165563
LBFGSLineSearch:   12 16:52:02     -906.401878        0.156089
LBFGSLineSearch:   13 16:52:03     -906.418727        0.265245
LBFGSLineSearch:   14 16:52:04     -906.461487        0.174052
LBFGSLineSearch:   15 16:52:05     -906.503036        0.221483
LBFGSLineSearch:   16 16:52:06     -906.542712        0.173094
LBFGSLineSearch:   17 16:52:07     -906.593946        0.152757
LBFGSLineSearch:   18 16:52:08     -906.608699        0.104797
LBFGSLineSearch:   19 16:52:09     -906.641316        0.129061
LBFGSLineSearch:   20 16:52:10     -906.674532        0.158904
LBFGSLineSearch:   21 16:52:11     -906.685336        0.086028
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:52:11     -904.886631        0.681823
LBFGSLineSearch:    1 16:52:12     -905.673277        0.238576
LBFGSLineSearch:    2 16:52:13     -905.777014        0.284963
LBFGSLineSearch:    3 16:52:14     -905.848707        0.259825
LBFGSLineSearch:    4 16:52:15     -905.953297        0.213012
LBFGSLineSearch:    5 16:52:16     -906.055682        0.207488
LBFGSLineSearch:    6 16:52:17     -906.076167        0.193330
LBFGSLineSearch:    7 16:52:18     -906.138448        0.181007
LBFGSLineSearch:    8 16:52:18     -906.154199        0.174895
LBFGSLineSearch:    9 16:52:19     -906.191965        0.169919
LBFGSLineSearch:   10 16:52:21     -906.231159        0.167917
LBFGSLineSearch:   11 16:52:22     -906.246765        0.194938
LBFGSLineSearch:   12 16:52:23     -906.323246        0.303158
LBFGSLineSearch:   13 16:52:24     -906.362235        0.145504
LBFGSLineSearch:   14 16:52:24     -906.384787        0.156216
LBFGSLineSearch:   15 16:52:25     -906.402550        0.291147
LBFGSLineSearch:   16 16:52:26     -906.479274        0.153396
LBFGSLineSearch:   17 16:52:27     -906.502276        0.124339
LBFGSLineSearch:   18 16:52:28     -906.545272        0.154548
LBFGSLineSearch:   19 16:52:29     -906.570543        0.138637
LBFGSLineSearch:   20 16:52:30     -906.594718        0.152026
LBFGSLineSearch:   21 16:52:31     -906.609637        0.142804
LBFGSLineSearch:   22 16:52:32     -906.637495        0.076003
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:52:32     -904.842999        0.737009
LBFGSLineSearch:    1 16:52:33     -905.627905        0.238372
LBFGSLineSearch:    2 16:52:34     -905.737286        0.297360
LBFGSLineSearch:    3 16:52:35     -905.807433        0.235593
LBFGSLineSearch:    4 16:52:36     -905.910127        0.198861
LBFGSLineSearch:    5 16:52:37     -906.011658        0.167707
LBFGSLineSearch:    6 16:52:38     -906.034404        0.192851
LBFGSLineSearch:    7 16:52:39     -906.099022        0.173781
LBFGSLineSearch:    8 16:52:40     -906.130755        0.169801
LBFGSLineSearch:    9 16:52:40     -906.152514        0.167040
LBFGSLineSearch:   10 16:52:41     -906.165423        0.172113
LBFGSLineSearch:   11 16:52:42     -906.201768        0.155146
LBFGSLineSearch:   12 16:52:43     -906.215095        0.150347
LBFGSLineSearch:   13 16:52:43     -906.234789        0.194167
LBFGSLineSearch:   14 16:52:44     -906.295249        0.154810
LBFGSLineSearch:   15 16:52:45     -906.313020        0.248512
LBFGSLineSearch:   16 16:52:46     -906.354144        0.196258
LBFGSLineSearch:   17 16:52:47     -906.401320        0.141503
LBFGSLineSearch:   18 16:52:48     -906.431562        0.103815
LBFGSLineSearch:   19 16:52:49     -906.460341        0.095237
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:52:50     -904.769322        0.779057
LBFGSLineSearch:    1 16:52:51     -905.558516        0.244761
LBFGSLineSearch:    2 16:52:51     -905.672370        0.301929
LBFGSLineSearch:    3 16:52:52     -905.741114        0.233784
LBFGSLineSearch:    4 16:52:53     -905.845432        0.232224
LBFGSLineSearch:    5 16:52:54     -905.942774        0.166132
LBFGSLineSearch:    6 16:52:55     -905.964307        0.191601
LBFGSLineSearch:    7 16:52:56     -906.026787        0.172073
LBFGSLineSearch:    8 16:52:57     -906.054010        0.165438
LBFGSLineSearch:    9 16:52:58     -906.085500        0.165811
LBFGSLineSearch:   10 16:52:59     -906.109879        0.163981
LBFGSLineSearch:   11 16:52:59     -906.128635        0.156817
LBFGSLineSearch:   12 16:53:00     -906.140727        0.150000
LBFGSLineSearch:   13 16:53:01     -906.159748        0.169372
LBFGSLineSearch:   14 16:53:02     -906.213945        0.143908
LBFGSLineSearch:   15 16:53:03     -906.233393        0.174664
LBFGSLineSearch:   16 16:53:04     -906.270330        0.159910
LBFGSLineSearch:   17 16:53:05     -906.322943        0.187196
LBFGSLineSearch:   18 16:53:06     -906.350617        0.137522
LBFGSLineSearch:   19 16:53:07     -906.378924        0.101895
LBFGSLineSearch:   20 16:53:07     -906.402644        0.194491
LBFGSLineSearch:   21 16:53:08     -906.417190        0.204311
LBFGSLineSearch:   22 16:53:09     -906.452256        0.107713
LBFGSLineSearch:   23 16:53:10     -906.463925        0.190484
LBFGSLineSearch:   24 16:53:11     -906.476468        0.216565
LBFGSLineSearch:   25 16:53:11     -906.498701        0.123427
LBFGSLineSearch:   26 16:53:12     -906.506536        0.076328
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:53:13     -905.136490        0.576226
LBFGSLineSearch:    1 16:53:14     -905.871221        0.229634
LBFGSLineSearch:    2 16:53:14     -905.986258        0.220860
LBFGSLineSearch:    3 16:53:15     -906.044521        0.206682
LBFGSLineSearch:    4 16:53:16     -906.134012        0.240012
LBFGSLineSearch:    5 16:53:17     -906.221650        0.213093
LBFGSLineSearch:    6 16:53:18     -906.245174        0.191503
LBFGSLineSearch:    7 16:53:19     -906.306238        0.168799
LBFGSLineSearch:    8 16:53:20     -906.348830        0.171610
LBFGSLineSearch:    9 16:53:21     -906.360031        0.152304
LBFGSLineSearch:   10 16:53:22     -906.390953        0.149148
LBFGSLineSearch:   11 16:53:23     -906.402643        0.175536
LBFGSLineSearch:   12 16:53:24     -906.465806        0.194268
LBFGSLineSearch:   13 16:53:25     -906.496388        0.139190
LBFGSLineSearch:   14 16:53:26     -906.515419        0.127718
LBFGSLineSearch:   15 16:53:27     -906.531869        0.220941
LBFGSLineSearch:   16 16:53:28     -906.586620        0.101208
LBFGSLineSearch:   17 16:53:28     -906.597451        0.098888
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:53:29     -904.913335        0.620500
LBFGSLineSearch:    1 16:53:30     -905.684695        0.232623
LBFGSLineSearch:    2 16:53:30     -905.800552        0.282429
LBFGSLineSearch:    3 16:53:31     -905.870163        0.220956
LBFGSLineSearch:    4 16:53:32     -905.973392        0.293338
LBFGSLineSearch:    5 16:53:33     -906.074634        0.184111
LBFGSLineSearch:    6 16:53:34     -906.096927        0.192591
LBFGSLineSearch:    7 16:53:35     -906.161482        0.171461
LBFGSLineSearch:    8 16:53:36     -906.190788        0.168311
LBFGSLineSearch:    9 16:53:37     -906.212365        0.164946
LBFGSLineSearch:   10 16:53:37     -906.224159        0.166011
LBFGSLineSearch:   11 16:53:38     -906.256397        0.151338
LBFGSLineSearch:   12 16:53:39     -906.267323        0.147023
LBFGSLineSearch:   13 16:53:40     -906.285319        0.187469
LBFGSLineSearch:   14 16:53:41     -906.337886        0.141683
LBFGSLineSearch:   15 16:53:42     -906.354598        0.211902
LBFGSLineSearch:   16 16:53:43     -906.399537        0.181422
LBFGSLineSearch:   17 16:53:44     -906.447916        0.159625
LBFGSLineSearch:   18 16:53:45     -906.483334        0.148892
LBFGSLineSearch:   19 16:53:46     -906.511488        0.098114
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:53:46     -904.755563        0.777739
