,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
201,Verkelis_virtual_43,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.1256677590344,37.72937110112262,[0.4 0.6],0.0016936689369737327,-3.2548182010650635
202,Verkelis_virtual_196,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.1256677590344,37.72937110112262,[0.4 0.6],0.0016936689369737327,-3.2519495487213135
203,Verkelis_virtual_382,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.33017914313877,37.93388248522699,[0.4 0.6],0.0016936689369737327,-3.236412763595581
204,Verkelis_virtual_157,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.18422443174629,37.787927773834504,[0.4 0.6],0.0016936689369737327,-3.2538864612579346
205,Verkelis_virtual_93,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.359295685447336,37.96299902753555,[0.4 0.6],0.0016936689369737327,-3.23500919342041
206,Verkelis_virtual_340,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.33017914313877,37.93388248522699,[0.4 0.6],0.0016936689369737327,-3.234837532043457
207,Verkelis_virtual_208,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.03764386675435,37.64134720884257,[0.4 0.6],0.0016936689369737327,-3.2664263248443604
208,Verkelis_virtual_173,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.24268096980726,37.84638431189548,[0.4 0.6],0.0016936689369737327,-3.2394309043884277
209,Verkelis_virtual_171,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.096351710996885,37.7000550530851,[0.4 0.6],0.0016936689369737327,-3.252443313598633
210,Verkelis_virtual_209,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.1842244317463,37.78792777383452,[0.4 0.6],0.0016936689369737327,-3.2454874515533447
211,Verkelis_virtual_394,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.21346518550847,37.817168527596685,[0.4 0.6],0.0016936689369737327,-3.252346992492676
212,Verkelis_virtual_45,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.21346518550847,37.817168527596685,[0.4 0.6],0.0016936689369737327,-3.244009494781494
213,Verkelis_virtual_395,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.24268096980726,37.84638431189548,[0.4 0.6],0.0016936689369737327,-3.239183187484741
214,Verkelis_virtual_117,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.35929568544734,37.96299902753556,[0.4 0.6],0.0016936689369737327,-3.2284841537475586
215,Verkelis_virtual_368,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.38838757487766,37.99209091696588,[0.4 0.6],0.0016936689369737327,-3.2288713455200195
216,Verkelis_virtual_145,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.03764386675435,37.64134720884257,[0.4 0.6],0.0016936689369737327,-3.2611520290374756
217,Verkelis_virtual_59,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.359295685447336,37.96299902753555,[0.4 0.6],0.0016936689369737327,-3.2265543937683105
218,Verkelis_virtual_88,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.47551594972873,38.07921929181695,[0.4 0.6],0.0016936689369737327,-3.212268829345703
219,Verkelis_virtual_184,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.24268096980726,37.84638431189548,[0.4 0.6],0.0016936689369737327,-3.2477381229400635
220,Verkelis_virtual_97,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,33.94939174712855,37.55309508921677,[0.4 0.6],0.0016936689369737327,-3.278379201889038
221,Verkelis_virtual_31,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.2718718484999,37.875575190588116,[0.4 0.6],0.0016936689369737327,-3.2375290393829346
222,Verkelis_virtual_242,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.184224431746294,37.78792777383451,[0.4 0.6],0.0016936689369737327,-3.2422616481781006
223,Verkelis_virtual_136,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.446497644898535,38.05020098698675,[0.4 0.6],0.0016936689369737327,-3.2233991622924805
224,Verkelis_virtual_71,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.330179143138764,37.93388248522698,[0.4 0.6],0.0016936689369737327,-3.232203722000122
225,Verkelis_virtual_379,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.184224431746294,37.78792777383451,[0.4 0.6],0.0016936689369737327,-3.2532386779785156
226,Verkelis_virtual_90,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.21346518550847,37.817168527596685,[0.4 0.6],0.0016936689369737327,-3.242262840270996
227,Verkelis_virtual_113,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.096351710996885,37.7000550530851,[0.4 0.6],0.0016936689369737327,-3.2639236450195312
228,Verkelis_virtual_167,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.38838757487766,37.99209091696588,[0.4 0.6],0.0016936689369737327,-3.2146403789520264
229,Verkelis_virtual_214,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.09635171099688,37.700055053085094,[0.4 0.6],0.0016936689369737327,-3.259324073791504
230,Verkelis_virtual_148,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.096351710996885,37.7000550530851,[0.4 0.6],0.0016936689369737327,-3.2574961185455322
231,Verkelis_virtual_84,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.1256677590344,37.72937110112262,[0.4 0.6],0.0016936689369737327,-3.251699209213257
232,Verkelis_virtual_232,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.1256677590344,37.72937110112262,[0.4 0.6],0.0016936689369737327,-3.2576892375946045
233,Verkelis_virtual_249,"[[0.         4.        ]
 [2.66666667 0.        ]]",3.603703342088216,34.30103788517193,37.904741227260146,[0.4 0.6],0.0016936689369737327,-3.234626293182373
