File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
High-entropy_CollCode264461_virtual_11_stropt.cif,-7.8288774,5.297956710207345,-0.008787989616394043,0.05911374092102051,-0.008898496627807617,0.007068753242492676
High-entropy_CollCode264461_virtual_7_stropt.cif,-7.815918,5.295925978844214,-0.008720040321350098,0.08794748783111572,-0.008839845657348633,0.0055463314056396484
High-entropy_CollCode264461_virtual_384_stropt.cif,-7.8031654,5.268893634182157,-0.009279727935791016,0.09630954265594482,-0.008978605270385742,0.0016486644744873047
High-entropy_CollCode264461_virtual_244_stropt.cif,-7.8228498,5.257771797382498,-0.008601546287536621,0.07907617092132568,-0.00903010368347168,0.006860494613647461
High-entropy_CollCode264461_virtual_174_stropt.cif,-7.8219233,5.280741276461166,-0.007370710372924805,0.06417226791381836,-0.008575201034545898,0.0035942792892456055
High-entropy_CollCode264461_virtual_131_stropt.cif,-7.8119936,5.267591823882306,-0.009458780288696289,0.0864635705947876,-0.008892059326171875,0.0021805763244628906
High-entropy_CollCode264461_virtual_177_stropt.cif,-7.8243685,5.28694511785039,-0.008843779563903809,0.06245744228363037,-0.008910894393920898,0.0044296979904174805
High-entropy_CollCode264461_virtual_351_stropt.cif,-7.8124433,5.278454550827704,-0.009791135787963867,0.0912402868270874,-0.008923530578613281,0.003847479820251465
High-entropy_CollCode264461_virtual_54_stropt.cif,-7.8229456,5.2868106033280435,-0.008598923683166504,0.08030068874359131,-0.008781671524047852,0.004957795143127441
High-entropy_CollCode264461_virtual_181_stropt.cif,-7.809862,5.301545534801604,-0.009423375129699707,0.08664834499359131,-0.008754730224609375,0.0028094053268432617
High-entropy_CollCode264461_virtual_119_stropt.cif,-7.8145742,5.255392588791523,-0.009214282035827637,0.07812130451202393,-0.008710503578186035,0.007834315299987793
High-entropy_CollCode264461_virtual_53_stropt.cif,-7.813683,5.286059857703159,-0.008548736572265625,0.08847224712371826,-0.00880587100982666,0.01057887077331543
High-entropy_CollCode264461_virtual_344_stropt.cif,-7.821789,5.274606239916572,-0.008737564086914062,0.0794762372970581,-0.008952617645263672,0.006606340408325195
