Verkelis-P1_r100_ir000002780_w768/: -150.84326921
Verkelis-P1_r100_ir000004296_w768/: 
Verkelis-P1_r100_ir000004935_w768/: -149.20432910
Verkelis-P1_r100_ir000005062_w768/: -148.53772274
Verkelis-P1_r100_ir000010560_w768/: -148.59681860
Verkelis-P1_r100_ir000010843_w768/: -146.98006438
Verkelis-P1_r100_ir000011800_w768/: -149.43527355
Verkelis-P1_r100_ir000013269_w768/: -151.86652916
Verkelis-P1_r100_ir000013793_w768/: -151.42839259
Verkelis-P1_r100_ir000014534_w384/: -148.85435900
Verkelis-P1_r100_ir000016145_w768/: -151.75841877
Verkelis-P1_r100_ir000019279_w768/: -149.64949758
Verkelis-P1_r100_ir000020121_w768/: -151.65245859
Verkelis-P1_r100_ir000025880_w768/: 
Verkelis-P1_r100_ir000026111_w768/: -152.73763812
Verkelis-P1_r100_ir000027033_w768/: -149.41981786
Verkelis-P1_r100_ir000027492_w768/: -149.76954928
Verkelis-P1_r100_ir000028373_w768/: -149.18957819
Verkelis-P1_r100_ir000029476_w768/: -149.86415092
Verkelis-P1_r100_ir000030642_w768/: -154.51747524
Verkelis-P1_r100_ir000030696_w768/: -151.50212330
Verkelis-P1_r100_ir000031048_w768/: 
Verkelis-P1_r100_ir000033814_w768/: -151.33849027
Verkelis-P1_r100_ir000033868_w768/: -150.73751072
Verkelis-P1_r100_ir000035479_w768/: -150.32587917
Verkelis-P1_r100_ir000036975_w768/: 
Verkelis-P1_r100_ir000043695_w384/: -154.98344617
Verkelis-P1_r100_ir000049118_w768/: -150.90067950
Verkelis-P1_r100_ir000051252_w768/: -153.19051268
Verkelis-P1_r100_ir000053772_w768/: -151.34935012
Verkelis-P1_r100_ir000054057_w768/: -154.19973552
Verkelis-P1_r100_ir000054882_w768/: -149.75548048
Verkelis-P1_r100_ir000059998_w768/: -151.01087636
Verkelis-P1_r100_ir000066686_w768/: -152.25090217
Verkelis-P1_r100_ir000068484_w768/: -150.28684322
Verkelis-P1_r100_ir000068595_w768/: -150.19429116
Verkelis-P1_r100_ir000069250_w768/: -150.01767901
Verkelis-P1_r100_ir000076760_w768/: -151.69705961
Verkelis-P1_r100_ir000077641_w768/: 
Verkelis-P1_r100_ir000077866_w768/: -151.45582249
Verkelis-P1_r100_ir000079753_w768/: -153.20927564
Verkelis-P1_r100_ir000082701_w768/: -153.88119456
Verkelis-P1_r100_ir000082913_w768/: -150.26106715
Verkelis-P1_r100_ir000083941_w768/: -150.65698693
Verkelis-P1_r100_ir000086696_w768/: -154.34224565
Verkelis-P1_r100_ir000086851_w768/: -150.39417430
Verkelis-P1_r100_ir000087199_w768/: -149.67633094
Verkelis-P1_r100_ir000088560_w768/: -151.74637000
Verkelis-P1_r100_ir000089728_w768/: -153.68638074
Verkelis-P1_r100_ir000090066_w768/: -152.39475213
Verkelis-P1_r100_ir000095639_w768/: -153.34013630
Verkelis-P1_r100_ir000096060_w768/: -153.47296238
Verkelis-P1_r100_ir000097785_w768/: -154.53166239
Verkelis-P1_r100_ir000098026_w768/: -152.60041244
Verkelis-P1_r100_ir000103520_w768/: -153.02444138
Verkelis-P1_r100_ir000103629_w768/: -151.07776330
Verkelis-P1_r100_ir000107844_w768/: -151.51057701
Verkelis-P1_r100_ir000108184_w768/: -153.57188446
Verkelis-P1_r100_ir000109734_w768/: -152.57398401
Verkelis-P1_r100_ir000110618_w768/: -152.89044896
Verkelis-P1_r100_ir000111695_w768/: -153.35961604
Verkelis-P1_r100_ir000112893_w768/: -149.81883090
Verkelis-P1_r100_ir000113925_w768/: -151.78294273
Verkelis-P1_r100_ir000114775_w768/: -149.48310268
Verkelis-P1_r100_ir000115235_w768/: -149.07731490
Verkelis-P1_r100_ir000118906_w768/: -150.73804431
Verkelis-P1_r100_ir000119604_w768/: -153.85273368
Verkelis-P1_r100_ir000120597_w768/: -153.26473932
Verkelis-P1_r100_ir000120845_w384/: -150.54637815
Verkelis-P1_r100_ir000121078_w768/: -150.37022493
Verkelis-P1_r100_ir000122055_w768/: -150.68622349
Verkelis-P1_r100_ir000122142_w768/: -155.11912158
Verkelis-P1_r100_ir000123260_w768/: -152.06497695
Verkelis-P1_r100_ir000124862_w768/: -150.80601423
Verkelis-P1_r100_ir000126947_w768/: -152.21505338
Verkelis-P1_r100_ir000128417_w768/: -152.75115174
Verkelis-P1_r100_ir000130852_w768/: -154.41492665
Verkelis-P1_r100_ir000131449_w768/: -153.03101479
Verkelis-P1_r100_ir000135312_w768/: -150.29972317
Verkelis-P1_r100_ir000137819_w768/: -153.23621038
Verkelis-P1_r100_ir000140159_w768/: -152.07737475
Verkelis-P1_r100_ir000140807_w768/: -151.46414094
Verkelis-P1_r100_ir000143724_w768/: -151.77621246
Verkelis-P1_r100_ir000145695_w768/: -153.22319275
Verkelis-P1_r100_ir000146775_w768/: -154.12964116
Verkelis-P1_r100_ir000148901_w768/: -153.51714189
Verkelis-P1_r100_ir000149562_w768/: -151.81976341
Verkelis-P1_r100_ir000151533_w384/: -150.97959369
Verkelis-P1_r100_ir000153428_w768/: -155.44974439
Verkelis-P1_r100_ir000156265_w768/: 
Verkelis-P1_r100_ir000158462_w768/: -152.60333813
Verkelis-P1_r100_ir000161188_w384/: -151.86118372
Verkelis-P1_r100_ir000161291_w384/: -151.04389969
Verkelis-P1_r100_ir000163374_w768/: -153.12926695
Verkelis-P1_r100_ir000164875_w768/: -154.21092912
Verkelis-P1_r100_ir000165925_w768/: -155.47220065
Verkelis-P1_r100_ir000166975_w768/: -154.63366819
Verkelis-P1_r100_ir000167903_w768/: -155.49742140
Verkelis-P1_r100_ir000168970_w768/: -152.51282937
Verkelis-P1_r100_ir000169221_w768/: -155.60020365
