File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
High-entropy_CollCode149264_virtual_320_stropt.cif,-9.800245,10.120847338657642,-0.0070037841796875,0.4318932294845581,-0.007289886474609375,0.4975118637084961
High-entropy_CollCode149264_virtual_271_stropt.cif,-9.794606,10.139708848579833,-0.006695985794067383,0.4328705072402954,-0.007353544235229492,0.5139472484588623
High-entropy_CollCode149264_virtual_102_stropt.cif,-9.795348,10.119842270496719,-0.006749749183654785,0.43112611770629883,-0.007510781288146973,0.4942106008529663
High-entropy_CollCode149264_virtual_322_stropt.cif,-9.793527,10.117320835870084,-0.006872057914733887,0.428702712059021,-0.007372379302978516,0.5027973651885986
High-entropy_CollCode149264_virtual_364_stropt.cif,-9.7923,10.122942361552038,-0.006726980209350586,0.42955076694488525,-0.007381319999694824,0.5008734464645386
High-entropy_CollCode149264_virtual_249_stropt.cif,-9.795994,10.11622958305208,-0.006690502166748047,0.4309622049331665,-0.0074318647384643555,0.49867868423461914
High-entropy_CollCode149264_virtual_279_stropt.cif,-9.798774,10.129641992718838,-0.006792187690734863,0.42787206172943115,-0.007525801658630371,0.4939008951187134
High-entropy_CollCode149264_virtual_231_stropt.cif,-9.797782,10.126732287947975,-0.006705164909362793,0.4310213327407837,-0.0074884891510009766,0.5053515434265137
High-entropy_CollCode149264_virtual_375_stropt.cif,-9.796907,10.126250265498706,-0.006712675094604492,0.43241918087005615,-0.007445216178894043,0.5073431730270386
High-entropy_CollCode149264_virtual_56_stropt.cif,-9.796651,10.130408647532022,-0.006907224655151367,0.42903661727905273,-0.0072470903396606445,0.4900941848754883
High-entropy_CollCode149264_virtual_283_stropt.cif,-9.7868395,10.141918740238971,-0.006794333457946777,0.4349935054779053,-0.007303357124328613,0.5217998027801514
High-entropy_CollCode149264_virtual_278_stropt.cif,-9.799317,10.122388678458682,-0.006808280944824219,0.42560529708862305,-0.007470488548278809,0.48708438873291016
High-entropy_CollCode149264_virtual_131_stropt.cif,-9.794268,10.121973932777786,-0.00676882266998291,0.43096303939819336,-0.007612347602844238,0.5057204961776733
High-entropy_CollCode149264_virtual_246_stropt.cif,-9.79922,10.194280884020758,-0.006702899932861328,0.43249452114105225,-0.00730741024017334,0.5144078731536865
High-entropy_CollCode149264_virtual_71_stropt.cif,-9.7894745,10.127569055748975,-0.006876826286315918,0.4321722984313965,-0.0073577165603637695,0.49416375160217285
High-entropy_CollCode149264_virtual_222_stropt.cif,-9.79003,10.13879630727192,-0.006931304931640625,0.42998576164245605,-0.007234930992126465,0.49240946769714355
High-entropy_CollCode149264_virtual_170_stropt.cif,-9.797678,10.11944170908425,-0.006761312484741211,0.4293597936630249,-0.007488608360290527,0.5000890493392944
High-entropy_CollCode149264_virtual_223_stropt.cif,-9.792481,10.128972941103543,-0.006801605224609375,0.4303295612335205,-0.007297158241271973,0.49523258209228516
High-entropy_CollCode149264_virtual_166_stropt.cif,-9.79627,10.121660536869891,-0.006909608840942383,0.42980992794036865,-0.007401704788208008,0.5014199018478394
High-entropy_CollCode149264_virtual_323_stropt.cif,-9.79554,10.12399835233249,-0.006767392158508301,0.43184852600097656,-0.007218003273010254,0.5056182146072388
High-entropy_CollCode149264_virtual_200_stropt.cif,-9.796253,10.125416353440107,-0.0069626569747924805,0.42916011810302734,-0.00734710693359375,0.4978841543197632
High-entropy_CollCode149264_virtual_86_stropt.cif,-9.794251,10.13701257597152,-0.006898760795593262,0.42945003509521484,-0.007323026657104492,0.5081958770751953
High-entropy_CollCode149264_virtual_366_stropt.cif,-9.79664,10.134420016577486,-0.006727814674377441,0.4314779043197632,-0.007545948028564453,0.5086108446121216
High-entropy_CollCode149264_virtual_205_stropt.cif,-9.796768,10.12625257975913,-0.006897568702697754,0.4315742254257202,-0.007463693618774414,0.5067952871322632
High-entropy_CollCode149264_virtual_17_stropt.cif,-9.799418,10.1224837745827,-0.0068520307540893555,0.4318157434463501,-0.00745081901550293,0.49321258068084717
High-entropy_CollCode149264_virtual_97_stropt.cif,-9.794204,10.113961222554654,-0.006794571876525879,0.42638587951660156,-0.007262587547302246,0.49788808822631836
High-entropy_CollCode149264_virtual_225_stropt.cif,-9.795448,10.146884397746794,-0.006771087646484375,0.43033111095428467,-0.007269144058227539,0.5036032199859619
High-entropy_CollCode149264_virtual_55_stropt.cif,-9.790036,10.123695300586151,-0.006845951080322266,0.42593371868133545,-0.007215380668640137,0.4899519681930542
High-entropy_CollCode149264_virtual_363_stropt.cif,-9.796642,10.140689342641009,-0.006752610206604004,0.42667055130004883,-0.007484912872314453,0.49386751651763916
High-entropy_CollCode149264_virtual_325_stropt.cif,-9.79284,10.125565200446921,-0.0067920684814453125,0.4330533742904663,-0.00726473331451416,0.5163246393203735
High-entropy_CollCode149264_virtual_0_stropt.cif,-9.797245,10.119192769287315,-0.006793379783630371,0.4321991205215454,-0.007359027862548828,0.5040918588638306
High-entropy_CollCode149264_virtual_303_stropt.cif,-9.795174,10.133045877092592,-0.006761074066162109,0.4345906972885132,-0.007553577423095703,0.513860821723938
High-entropy_CollCode149264_virtual_173_stropt.cif,-9.791611,10.124894448053654,-0.006722211837768555,0.4277334213256836,-0.007288694381713867,0.49696576595306396
High-entropy_CollCode149264_virtual_340_stropt.cif,-9.79286,10.151817147167883,-0.006770133972167969,0.4315758943557739,-0.007522940635681152,0.5049271583557129
High-entropy_CollCode149264_virtual_22_stropt.cif,-9.798761,10.114993821547337,-0.006814718246459961,0.4251291751861572,-0.0071125030517578125,0.4908578395843506
High-entropy_CollCode149264_virtual_382_stropt.cif,-9.789389,10.134118430677175,-0.006716251373291016,0.43273067474365234,-0.007340669631958008,0.507259726524353
High-entropy_CollCode149264_virtual_70_stropt.cif,-9.792607,10.132388862086874,-0.00670468807220459,0.4350477457046509,-0.007687091827392578,0.510039210319519
High-entropy_CollCode149264_virtual_36_stropt.cif,-9.798634,10.129845248816514,-0.006727099418640137,0.42678165435791016,-0.0075626373291015625,0.48254573345184326
High-entropy_CollCode149264_virtual_240_stropt.cif,-9.792937,10.18268781017032,-0.006952404975891113,0.4291696548461914,-0.007320761680603027,0.5036896467208862
High-entropy_CollCode149264_virtual_219_stropt.cif,-9.796129,10.11663250721938,-0.0067452192306518555,0.4309358596801758,-0.007345318794250488,0.4999222755432129
High-entropy_CollCode149264_virtual_305_stropt.cif,-9.797659,10.143376469111624,-0.006852269172668457,0.4295048713684082,-0.007238030433654785,0.5115529298782349
High-entropy_CollCode149264_virtual_237_stropt.cif,-9.802781,10.133412046778412,-0.006748080253601074,0.4298083782196045,-0.007424592971801758,0.492228627204895
High-entropy_CollCode149264_virtual_150_stropt.cif,-9.79705,10.125704733375423,-0.006751060485839844,0.4293797016143799,-0.0073310136795043945,0.4960874319076538
High-entropy_CollCode149264_virtual_285_stropt.cif,-9.799787,10.15087358701501,-0.007023930549621582,0.4307737350463867,-0.0071375370025634766,0.5027707815170288
High-entropy_CollCode149264_virtual_141_stropt.cif,-9.791805,10.116097593029297,-0.006828427314758301,0.4277912378311157,-0.007249236106872559,0.4903808832168579
High-entropy_CollCode149264_virtual_304_stropt.cif,-9.794306,10.13909305701304,-0.00676572322845459,0.4278898239135742,-0.007306456565856934,0.4901789426803589
High-entropy_CollCode149264_virtual_11_stropt.cif,-9.798813,10.189692449905017,-0.006803035736083984,0.4295639991760254,-0.007220029830932617,0.49745380878448486
High-entropy_CollCode149264_virtual_84_stropt.cif,-9.795881,10.134795704857105,-0.006785869598388672,0.4266473054885864,-0.007396578788757324,0.4937690496444702
High-entropy_CollCode149264_virtual_120_stropt.cif,-9.797005,10.124966935232111,-0.006709456443786621,0.4318464994430542,-0.007588624954223633,0.516025185585022
High-entropy_CollCode149264_virtual_188_stropt.cif,-9.794478,10.1238694258671,-0.006667613983154297,0.43186986446380615,-0.007361412048339844,0.49446141719818115
High-entropy_CollCode149264_virtual_370_stropt.cif,-9.7889185,10.175127580291065,-0.006742596626281738,0.4287841320037842,-0.007200956344604492,0.4994243383407593
High-entropy_CollCode149264_virtual_336_stropt.cif,-9.7883625,10.134188974244108,-0.006815910339355469,0.43014371395111084,-0.007655501365661621,0.497974157333374
High-entropy_CollCode149264_virtual_328_stropt.cif,-9.799954,10.11512328250214,-0.006736159324645996,0.42878079414367676,-0.007565021514892578,0.5037230253219604
High-entropy_CollCode149264_virtual_289_stropt.cif,-9.796536,10.120494263646277,-0.006766200065612793,0.43362104892730713,-0.007402539253234863,0.5111639499664307
High-entropy_CollCode149264_virtual_117_stropt.cif,-9.795336,10.119508382203614,-0.006712436676025391,0.42915308475494385,-0.007468461990356445,0.5033557415008545
High-entropy_CollCode149264_virtual_387_stropt.cif,-9.801253,10.150552496598081,-0.006690859794616699,0.4257652759552002,-0.007493138313293457,0.4871124029159546
High-entropy_CollCode149264_virtual_232_stropt.cif,-9.797832,10.1778556660645,-0.0067386627197265625,0.43233978748321533,-0.0076024532318115234,0.5011597871780396
High-entropy_CollCode149264_virtual_19_stropt.cif,-9.79599,10.126173963715312,-0.006794571876525879,0.43253612518310547,-0.007494449615478516,0.4980689287185669
High-entropy_CollCode149264_virtual_236_stropt.cif,-9.79236,10.111128802658522,-0.006792306900024414,0.4287151098251343,-0.007381081581115723,0.49698877334594727
High-entropy_CollCode149264_virtual_7_stropt.cif,-9.794642,10.109039610310482,-0.00671231746673584,0.43372678756713867,-0.0073577165603637695,0.503056526184082
High-entropy_CollCode149264_virtual_383_stropt.cif,-9.796839,10.132008277877631,-0.006759047508239746,0.4310567378997803,-0.007431387901306152,0.49987125396728516
High-entropy_CollCode149264_virtual_169_stropt.cif,-9.794726,10.13059760178949,-0.0070192813873291016,0.4307098388671875,-0.007193326950073242,0.5031005144119263
High-entropy_CollCode149264_virtual_125_stropt.cif,-9.799994,10.193770232336888,-0.006832599639892578,0.4299725294113159,-0.007518291473388672,0.5057648420333862
High-entropy_CollCode149264_virtual_332_stropt.cif,-9.798718,10.126417340573155,-0.006759047508239746,0.4290771484375,-0.0077168941497802734,0.4876779317855835
High-entropy_CollCode149264_virtual_346_stropt.cif,-9.7935915,10.183503360243321,-0.006749749183654785,0.43224799633026123,-0.0074710845947265625,0.5091066360473633
High-entropy_CollCode149264_virtual_115_stropt.cif,-9.795196,10.132300694201748,-0.0067403316497802734,0.43026626110076904,-0.007217288017272949,0.5018800497055054
High-entropy_CollCode149264_virtual_126_stropt.cif,-9.797429,10.211394154941106,-0.006847500801086426,0.43321430683135986,-0.008158445358276367,0.5222878456115723
High-entropy_CollCode149264_virtual_58_stropt.cif,-9.798886,10.191760578835071,-0.006807684898376465,0.4293121099472046,-0.007477521896362305,0.4937981367111206
High-entropy_CollCode149264_virtual_234_stropt.cif,-9.791026,10.143576222198718,-0.0068511962890625,0.42740094661712646,-0.007340669631958008,0.49277329444885254
High-entropy_CollCode149264_virtual_247_stropt.cif,-9.800305,10.1774804718642,-0.006717205047607422,0.4325892925262451,-0.007383584976196289,0.5040863752365112
High-entropy_CollCode149264_virtual_300_stropt.cif,-9.7926445,10.123152675108766,-0.006757259368896484,0.43018579483032227,-0.007409095764160156,0.5069478750228882
High-entropy_CollCode149264_virtual_394_stropt.cif,-9.800011,10.141696782025475,-0.006742358207702637,0.43163907527923584,-0.007301926612854004,0.5075451135635376
High-entropy_CollCode149264_virtual_262_stropt.cif,-9.804527,10.15421920822803,-0.006749868392944336,0.4267585277557373,-0.007549643516540527,0.48688340187072754
High-entropy_CollCode149264_virtual_272_stropt.cif,-9.794303,10.150593295431163,-0.006699204444885254,0.43221306800842285,-0.0075626373291015625,0.5086872577667236
High-entropy_CollCode149264_virtual_63_stropt.cif,-9.797024,10.161038186304046,-0.006744742393493652,0.4317612648010254,-0.007535696029663086,0.5026082992553711
High-entropy_CollCode149264_virtual_64_stropt.cif,-9.791104,10.12757444586692,-0.006712436676025391,0.43421149253845215,-0.007521271705627441,0.49276506900787354
High-entropy_CollCode149264_virtual_345_stropt.cif,-9.791327,10.130903740465929,-0.006677150726318359,0.4310954809188843,-0.007553696632385254,0.5017486810684204
High-entropy_CollCode149264_virtual_68_stropt.cif,-9.796827,10.122621537462106,-0.0067691802978515625,0.42877089977264404,-0.007343173027038574,0.49917519092559814
High-entropy_CollCode149264_virtual_209_stropt.cif,-9.792748,10.117103463774896,-0.006817221641540527,0.43404245376586914,-0.007240176200866699,0.5087168216705322
High-entropy_CollCode149264_virtual_389_stropt.cif,-9.7957,10.192875480055678,-0.006743073463439941,0.4282653331756592,-0.007376909255981445,0.504639744758606
High-entropy_CollCode149264_virtual_171_stropt.cif,-9.7917,10.130746101762835,-0.006660342216491699,0.43492066860198975,-0.007479071617126465,0.5107893943786621
High-entropy_CollCode149264_virtual_217_stropt.cif,-9.796032,10.11581735795061,-0.006889224052429199,0.4279590845108032,-0.007164478302001953,0.48191356658935547
