,filename,folder,formula,supercell size,sample size,lattice spacing warning
0,HEA.cif,_disordered_cifs,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"[5, 5, 4]",100,False
1,DoublePerov.cif,_disordered_cifs,Cs1Sn0.5Pb0.5I3,"[3, 3, 3]",100,False
2,Gehlenite.cif,_disordered_cifs,Ca2Al2SiO7,"[2, 2, 3]",100,False
3,Spinel.cif,_disordered_cifs,V10.6672Zn10.72O32,"[2, 2, 2]",100,False
4,Verkelis.cif,_disordered_cifs,In2.68Te4,"[3, 3, 3]",100,False
5,Hanada.cif,_disordered_cifs,In4.8Cu1.6Se8,"[3, 3, 2]",100,False
