File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
7706150_virtual_38_stropt.cif,-5.7659216,2.4128402833458504,0.9904504418373108,0.5021787881851196,3.209756374359131,3.134132146835327
7706150_virtual_54_stropt.cif,-5.770472,2.413830938330648,1.117551326751709,0.9734545350074768,2.7782106399536133,3.225311517715454
7706150_virtual_347_stropt.cif,-5.7819176,2.4146463928406807,1.369167447090149,0.5118054151535034,3.4689812660217285,3.2294390201568604
7706150_virtual_75_stropt.cif,-5.766763,2.4142697800291604,1.7216894626617432,0.9082174897193909,3.520874500274658,3.1780290603637695
7706150_virtual_94_stropt.cif,-5.785991,2.413976958006536,0.6820140480995178,1.7713483572006226,3.4715538024902344,3.25527286529541
7706150_virtual_282_stropt.cif,-5.776563,2.4108675428393593,0.541608452796936,1.9132636785507202,3.567488193511963,3.158839702606201
7706150_virtual_234_stropt.cif,-5.7866077,2.412384131362005,0.6461594700813293,1.3221971988677979,3.5693135261535645,3.159248113632202
7706150_virtual_257_stropt.cif,-5.790687,2.412088639954732,0.6224908828735352,4.1171650886535645,3.504237651824951,3.1733193397521973
7706150_virtual_344_stropt.cif,-5.7804265,2.4131599839870157,0.6116166710853577,1.9282861948013306,3.485391139984131,3.2136125564575195
7706150_virtual_323_stropt.cif,-5.7896843,2.414241649923597,0.7790254950523376,0.8303576707839966,3.342989921569824,3.2161314487457275
7706150_virtual_13_stropt.cif,-5.783512,2.415385711676808,0.8887085318565369,0.4748215675354004,3.435694694519043,3.174792766571045
7706150_virtual_118_stropt.cif,-5.7775507,2.413221887937821,0.6604735255241394,0.7531506419181824,3.481898307800293,3.2135233879089355
7706150_virtual_249_stropt.cif,-5.782963,2.413468754542974,0.5887299180030823,1.7330536842346191,3.5390419960021973,3.1731863021850586
7706150_virtual_389_stropt.cif,-5.771057,2.4094297866205796,0.4808086156845093,4.694775104522705,3.4282026290893555,3.129594326019287
7706150_virtual_147_stropt.cif,-5.781941,2.4149079505046145,0.6921188831329346,0.43748390674591064,3.385161876678467,3.16049861907959
7706150_virtual_70_stropt.cif,-5.7920194,2.409717735955414,0.40042614936828613,4.562132358551025,3.560364246368408,3.0770716667175293
7706150_virtual_386_stropt.cif,-5.784008,2.4141856213076642,1.2054283618927002,1.1008591651916504,3.3038837909698486,3.208601951599121
7706150_virtual_107_stropt.cif,-5.773956,2.4130588171268497,0.9811447858810425,1.1831655502319336,3.5709292888641357,3.156733751296997
7706150_virtual_286_stropt.cif,-5.7748585,2.412141479939178,0.7308024168014526,1.6246013641357422,3.4796104431152344,3.1841506958007812
7706150_virtual_196_stropt.cif,-5.7831683,2.414720459818369,0.7036440968513489,1.4858993291854858,3.457705020904541,3.2454750537872314
7706150_virtual_168_stropt.cif,-5.7941313,2.4083719417593494,0.397163987159729,5.038980484008789,3.5344529151916504,3.072854995727539
7706150_virtual_371_stropt.cif,-5.7971897,2.4092561920900346,0.11374735832214355,5.020138263702393,3.4867982864379883,3.0398902893066406
7706150_virtual_154_stropt.cif,-5.809753,2.4056094324294026,0.05005800724029541,5.2102508544921875,3.3813693523406982,3.0105068683624268
7706150_virtual_67_stropt.cif,-5.778812,2.411722035987162,0.5108104944229126,2.2534029483795166,3.498253345489502,3.181354284286499
7706150_virtual_334_stropt.cif,-5.7681913,2.4145344458260376,0.9888730049133301,0.5308141708374023,3.1948671340942383,3.227832794189453
7706150_virtual_30_stropt.cif,-5.791488,2.4139261679033592,0.6766082048416138,0.6680589914321899,3.351574659347534,3.1536598205566406
7706150_virtual_208_stropt.cif,-5.782113,2.414340017483656,0.7195959687232971,0.8768813610076904,3.1692919731140137,3.2028191089630127
7706150_virtual_214_stropt.cif,-5.787455,2.413503873084883,0.5710445642471313,1.1163690090179443,3.443000078201294,3.182039737701416
7706150_virtual_18_stropt.cif,-5.7790136,2.414356460703453,0.7891600131988525,0.5617640018463135,3.449646472930908,3.2348506450653076
7706150_virtual_136_stropt.cif,-5.7985387,2.4099985251200584,0.3619803190231323,4.806919574737549,3.4829864501953125,2.543692111968994
7706150_virtual_42_stropt.cif,-5.780622,2.4142072306186497,0.8609066605567932,1.4114365577697754,3.3170371055603027,3.1976170539855957
7706150_virtual_99_stropt.cif,-5.780942,2.4137789184189895,0.6708441972732544,0.9962802529335022,3.3040852546691895,3.2648262977600098
7706150_virtual_123_stropt.cif,-5.784922,2.4109103841974107,0.510226845741272,1.8375312089920044,3.3841257095336914,3.177978038787842
7706150_virtual_247_stropt.cif,-5.7847867,2.4119808096855535,0.7425151467323303,0.9527847766876221,3.377312660217285,3.127182722091675
7706150_virtual_217_stropt.cif,-5.786433,2.411723137333834,0.6562783718109131,1.7272733449935913,3.618520736694336,3.2115018367767334
7706150_virtual_200_stropt.cif,-5.7772155,2.413596746167193,0.6758022308349609,1.564838171005249,3.096163272857666,3.2318954467773438
7706150_virtual_374_stropt.cif,-5.7913446,2.414327285919942,0.6997711062431335,0.8311963677406311,3.5003902912139893,3.236550807952881
7706150_virtual_238_stropt.cif,-5.786789,2.413584632428442,0.6325347423553467,0.8051409721374512,3.285311222076416,3.152042865753174
7706150_virtual_138_stropt.cif,-5.7834215,2.412072439362364,0.7478592395782471,1.1661673784255981,3.391542911529541,3.1592302322387695
7706150_virtual_119_stropt.cif,-5.800244,2.4081828401646095,0.3817465305328369,3.7532687187194824,3.5841217041015625,3.0882673263549805
7706150_virtual_276_stropt.cif,-5.798244,2.412397934437218,0.5404213666915894,1.4935712814331055,3.5249876976013184,3.2155039310455322
7706150_virtual_91_stropt.cif,-5.7858863,2.4144367595880802,0.9213582873344421,0.8776821494102478,3.324521064758301,3.212411403656006
7706150_virtual_225_stropt.cif,-5.778633,2.413255264299689,0.5959526300430298,1.205737590789795,3.5654070377349854,3.25093936920166
